date,time,user_id,free_text,phase,task_number,trial_number,diff_rating,perf_rating,saved_filename,practice_mode,bpm,number_of_bars,complexityLevel,loaded_filename,pitch_right,note_hold_time_right,timing_right,n_missing_notes_right,n_extra_notes_right,Summed_right,note_hold_time_left,timing_left,n_missing_notes_left,n_extra_notes_left,Summed_left,
28/07/2022,10:24:39,Enter ID,Free text,None,1,1,,,2022_07_28-10_24_39.xml,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0,0.02634375,0,1.05,0,1.07634375,0,0,0,0,0,0
28/07/2022,10:25:21,Enter ID,Free text,None,1,2,,,2022_07_28-10_24_39.xml,None,100,7,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.TWO_NOTES: 3>, [0.5, 0.25], 'right')",,0,0.27525,0.0305,0.05,0,0.35575,0,0,0,0,0,0
28/07/2022,10:29:50,Enter ID,Free text,None,2,1,,,2022_07_28-10_29_50.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.C_TO_G: 6>, [0.5, 0.25], 'right')",,0.25,0.236611111,0.065166667,0.333333333,0.041666667,0.926777778,0,0,0,0,0,0
28/07/2022,10:40:47,Enter ID,Free text,Calibration,5,1,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.315789474,0.088784167,0.201473684,0.421052632,0.052631579,1.079731535,0,0,0,0,0,0
28/07/2022,10:44:45,Enter ID,Free text,Calibration,5,2,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.105263158,0.136673194,0.083847895,0.157894737,0,0.483678984,0,0,0,0,0,0
28/07/2022,10:45:25,Enter ID,Free text,Calibration,5,3,,,2022_07_28-10_40_47.xml,None,166,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.473684211,0.134960139,0.271181316,0.210526316,0,1.090351981,0,0,0,0,0,0
28/07/2022,10:48:22,Enter ID,Free text,Calibration,6,1,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.333333333,0.18925,0.224111111,0.166666667,0,0.913361111,0,0,0,0,0,0
28/07/2022,10:49:10,Enter ID,Free text,Calibration,6,2,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.333333333,0.229166667,0.1795,0,0,0.742,0,0,0,0,0,0
28/07/2022,10:49:50,Enter ID,Free text,Calibration,6,3,,,2022_07_28-10_48_22.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.5,0.237888889,0.3695,0,0.055555556,1.162944444,0,0,0,0,0,0
28/07/2022,10:52:05,Enter ID,Free text,Calibration,7,1,,,2022_07_28-10_52_05.xml,None,67,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.038461538,0.376657222,0.124749154,0,0.038461538,0.578329453,0,0,0,0,0,0
28/07/2022,10:53:01,Enter ID,Free text,Calibration,7,2,,,2022_07_28-10_52_05.xml,None,67,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.366435,0.067789308,0,0,0.434224308,0,0,0,0,0,0
28/07/2022,10:53:56,Enter ID,Free text,Calibration,7,3,,,2022_07_28-10_52_05.xml,None,67,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.322685,0.063588538,0,0.038461538,0.424735077,0,0,0,0,0,0
28/07/2022,11:10:05,Enter ID,Free text,Practice,9,1,,,2022_07_28-11_10_05.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.2,0.247711167,0.336774733,0,0,0.7844859,0,0,0,0,0,0
28/07/2022,11:14:37,Enter ID,Free text,Test,9,2,,,2022_07_28-11_10_05.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.2,0.200405611,0.101207267,0,0,0.501612878,0,0,0,0,0,0
28/07/2022,11:20:33,Enter ID,Free text,Practice,10,1,,,2022_07_28-11_20_33.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.058823529,0.178871778,0.090796765,0,0.117647059,0.446139131,0,0,0,0,0,0
28/07/2022,11:21:19,Enter ID,Free text,Practice,10,2,,,2022_07_28-11_20_33.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.142371778,0.123901588,0,0,0.266273366,0,0,0,0,0,0
28/07/2022,11:21:58,Enter ID,Free text,Practice,10,3,,,2022_07_28-11_20_33.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.058823529,0.149038444,0.062044882,0,0,0.269906856,0,0,0,0,0,0
28/07/2022,11:23:06,Enter ID,Free text,Practice,10,4,,,2022_07_28-11_20_33.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.137374806,0.028489824,0.058823529,0,0.224688158,0,0,0,0,0,0
28/07/2022,11:23:48,Enter ID,Free text,Test,10,5,,,2022_07_28-11_20_33.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.147482889,0.036507941,0,0,0.18399083,0,0,0,0,0,0
28/07/2022,11:28:38,Enter ID,Free text,Practice,11,1,,,2022_07_28-11_28_38.xml,None,66,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.295713889,0.038232222,0.037037037,0,0.370983148,0,0,0,0,0,0
28/07/2022,11:29:55,Enter ID,Free text,Practice,11,2,,,2022_07_28-11_28_38.xml,None,66,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.347466389,0.054249259,0,0.037037037,0.438752685,0,0,0,0,0,0
28/07/2022,11:30:51,Enter ID,Free text,Practice,11,3,,,2022_07_28-11_28_38.xml,None,66,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.282466389,0.042175185,0,0,0.324641574,0,0,0,0,0,0
28/07/2022,11:31:47,Enter ID,Free text,Practice,11,4,,,2022_07_28-11_28_38.xml,None,66,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.296296296,0.366628056,0.13261963,0,0,0.795543981,0,0,0,0,0,0
28/07/2022,11:32:32,Enter ID,Free text,Practice,11,5,,,2022_07_28-11_28_38.xml,None,66,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.332605278,0.023575926,0,0,0.356181204,0,0,0,0,0,0
28/07/2022,11:33:44,Enter ID,Free text,Test,12,1,,,2022_07_28-11_28_38.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.111111111,0.196199056,0.037806037,0.185185185,0,0.530301389,0,0,0,0,0,0
28/07/2022,11:34:41,Enter ID,Free text,Test,12,2,,,2022_07_28-11_28_38.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.2392425,0.016962259,0.037037037,0,0.293241796,0,0,0,0,0,0
28/07/2022,11:37:44,Enter ID,Free text,Practice,13,1,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.043478261,0.195301083,0.032352565,0,0,0.271131909,0,0,0,0,0,0
28/07/2022,11:38:21,Enter ID,Free text,Practice,13,2,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.202384417,0.035501957,0,0,0.237886373,0,0,0,0,0,0
28/07/2022,11:38:54,Enter ID,Free text,Practice,13,3,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.209106639,0.030076652,0,0.043478261,0.282661552,0,0,0,0,0,0
28/07/2022,11:39:25,Enter ID,Free text,Practice,13,4,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.19196775,0.034545435,0,0,0.226513185,0,0,0,0,0,0
28/07/2022,11:39:58,Enter ID,Free text,Practice,13,5,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.086956522,0.198171278,0.04705213,0.043478261,0,0.375658191,0,0,0,0,0,0
28/07/2022,11:41:06,Enter ID,Free text,Test,13,6,,,2022_07_28-11_37_44.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.173412194,0.110042652,0,0,0.283454847,0,0,0,0,0,0
28/07/2022,11:43:28,Enter ID,Free text,Practice,14,1,,,2022_07_28-11_43_28.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.128361111,0.031,0.052631579,0,0.21199269,0,0,0,0,0,0
28/07/2022,11:44:06,Enter ID,Free text,Practice,14,2,,,2022_07_28-11_43_28.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.160555556,0.027789474,0.052631579,0,0.240976608,0,0,0,0,0,0
28/07/2022,11:44:36,Enter ID,Free text,Practice,14,3,,,2022_07_28-11_43_28.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.157894737,0.154805556,0.093684211,0,0.052631579,0.459016082,0,0,0,0,0,0
28/07/2022,11:45:06,Enter ID,Free text,Practice,14,4,,,2022_07_28-11_43_28.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.157894737,0.164722222,0.161578947,0,0.105263158,0.589459064,0,0,0,0,0,0
28/07/2022,11:46:08,Enter ID,Free text,Practice,14,5,,,2022_07_28-11_43_28.xml,None,100,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0,0.142027778,0.019263158,0,0,0.161290936,0,0,0,0,0,0
28/07/2022,11:47:07,Enter ID,Free text,Test,15,1,,,2022_07_28-11_43_28.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",,0.052631579,0.145754611,0.050502368,0,0,0.248888558,0,0,0,0,0,0
28/07/2022,11:54:45,Enter ID,Free text,Retention,16,1,,,2022_07_28-11_54_45.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_10_05.mid,0,0.136238944,0.163630333,0,0,0.299869278,0,0,0,0,0,0
28/07/2022,11:55:25,Enter ID,Free text,Retention,16,2,,,2022_07_28-11_54_45.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_10_05.mid,0.066666667,0.130908639,0.150755133,0.066666667,0,0.414997106,0,0,0,0,0,0
28/07/2022,11:56:01,Enter ID,Free text,Retention,16,3,,,2022_07_28-11_54_45.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_10_05.mid,0,0.137822278,0.142613267,0,0,0.280435544,0,0,0,0,0,0
28/07/2022,11:58:08,Enter ID,Free text,Retention,17,1,,,2022_07_28-11_58_08.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_20_33.mid,0,0.158927333,0.057763588,0,0,0.216690922,0,0,0,0,0,0
28/07/2022,11:58:41,Enter ID,Free text,Retention,17,2,,,2022_07_28-11_58_08.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_20_33.mid,0,0.137316222,0.108280176,0,0,0.245596399,0,0,0,0,0,0
28/07/2022,11:59:13,Enter ID,Free text,Retention,17,3,,,2022_07_28-11_58_08.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_20_33.mid,0,0.139038444,0.062313353,0,0,0.201351797,0,0,0,0,0,0
28/07/2022,12:00:37,Enter ID,Free text,Retention,18,1,,,2022_07_28-12_00_37.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_28_38.mid,0,0.218572806,0.030123222,0,0,0.248696028,0,0,0,0,0,0
28/07/2022,12:01:14,Enter ID,Free text,Retention,18,2,,,2022_07_28-12_00_37.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_28_38.mid,0,0.183131389,0.02166263,0.037037037,0,0.241831056,0,0,0,0,0,0
28/07/2022,12:01:46,Enter ID,Free text,Retention,18,3,,,2022_07_28-12_00_37.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_28_38.mid,0,0.19851725,0.026715815,0,0,0.225233065,0,0,0,0,0,0
28/07/2022,12:02:58,Enter ID,Free text,Retention,19,1,,,2022_07_28-12_02_57.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_37_44.mid,0.043478261,0.171606639,0.023048217,0,0,0.238133117,0,0,0,0,0,0
28/07/2022,12:03:31,Enter ID,Free text,Retention,19,2,,,2022_07_28-12_02_57.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_37_44.mid,0,0.168606639,0.074492478,0,0,0.243099117,0,0,0,0,0,0
28/07/2022,12:04:03,Enter ID,Free text,Retention,19,3,,,2022_07_28-12_02_57.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_37_44.mid,0,0.164384417,0.027076652,0,0,0.191461069,0,0,0,0,0,0
28/07/2022,12:05:29,Enter ID,Free text,Retention,20,1,,,2022_07_28-12_05_29.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_43_28.mid,0,0.139810167,0.026911947,0,0,0.166722114,0,0,0,0,0,0
28/07/2022,12:06:01,Enter ID,Free text,Retention,20,2,,,2022_07_28-12_05_29.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_43_28.mid,0,0.142726833,0.093561737,0,0,0.23628857,0,0,0,0,0,0
28/07/2022,12:06:34,Enter ID,Free text,Retention,20,3,,,2022_07_28-12_05_29.xml,None,83,8,"(<NoteRangePerHand.ONE_NOTE: 2>, <NoteRangePerHand.THREE_NOTES: 4>, [0.5, 0.25], 'right')",/Users/hom/PycharmProjects/comp_scaffold_26_05_22/DexmoPiano/output/2022_07_28-11_43_28.mid,0,0.159732889,0.102642053,0,0,0.262374942,0,0,0,0,0,0